timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769410346.5374286,HIGH,,,,2,10
1769410347.5606532,HIGH,,,,2,10
1769410348.563731,HIGH,,,,2,10
1769410349.5883977,HIGH,,,,2,10
1769410350.6095443,HIGH,,,,2,10
1769410351.6334953,HIGH,,,,2,10
1769410352.6375601,HIGH,,,,2,10
1769410353.6619809,HIGH,,,,2,10
1769410354.6847606,HIGH,,,,2,10
1769410355.70805,HIGH,,,,2,10
1769410356.7310462,HIGH,,,,2,10
1769410357.7548933,HIGH,,,,1,10
1769410358.7557545,HIGH,,,,2,10
1769410359.757665,HIGH,,,,2,10
1769410360.7780094,HIGH,,,,2,10
1769410361.8025162,HIGH,,,,2,10
1769410362.8033638,HIGH,,,,2,10
1769410363.8257504,HIGH,,,,2,10
1769410364.850847,HIGH,,,,2,10
